frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,84.00014,42.000103,1.0,1.1056296,1.1056296,0.01,1.5006438,1.5006441,2.296564,-1.2030647,1
0,84.00014,85.99975,1.0836029,1.1486471,1.1486471,0.01,1.509975,1.5099752,2.7135766,-1.2705716,1
0,84.00018,141.99974,1.0734711,1.097109,1.097109,0.01,1.419974,1.419974,2.5692272,-1.2753223,1
0,84.00018,304.00012,1.0,1.2009474,1.2009474,0.01,1.7009068,1.7009072,2.7532666,-1.1766549,1
0,84.00025,231.00006,1.0,1.1906328,1.1906328,0.01,1.6778563,1.6778566,2.3833823,-1.179772,1
0,85.00003,315.00024,1.0139236,1.0915765,1.0915765,0.01,1.4607555,1.4607552,3.2173905,-1.21979,1
0,85.00006,325.99997,1.0,1.0429049,1.0429049,0.01,1.383409,1.3834089,2.715196,-1.2172267,1
0,85.000084,239.0,1.0,1.0661469,1.0661469,0.01,1.4255952,1.4255953,2.2218807,-1.2122971,1
0,85.000244,292.9999,1.0,1.1602944,1.1602944,0.01,1.6120448,1.6120442,2.625668,-1.1885905,1
0,85.00034,249.99977,1.6145401,1.2336818,1.2336818,0.01,1.3257573,1.3257579,2.515099,-1.7295458,1
0,85.00042,338.99997,1.4089584,1.1430969,1.1430969,0.01,1.2768731,1.2768731,2.753573,-1.5791366,1
0,88.99985,74.0005,2.4101562,1.3098633,1.3098633,0.01,1.1619145,1.1619146,2.4682448,-2.3963473,1
0,92.99958,171.00023,1.3572922,1.2045164,1.2045164,0.01,1.4155278,1.4155282,2.2428102,-1.5062592,1
0,92.99981,188.00002,1.0,1.02315,1.02315,0.01,1.348656,1.348656,1.7502147,-1.2211152,1
0,92.99985,104.9999,1.0,1.1129568,1.1129568,0.01,1.515059,1.515059,2.695577,-1.2012358,1
0,92.999954,268.99994,1.0,1.1292865,1.1292865,0.01,1.5477519,1.5477518,2.2856433,-1.1970336,1
0,93.0,141.00002,1.0,1.1471798,1.1471798,0.01,1.5844929,1.5844929,2.6588628,-1.192234,1
0,93.00003,159.99994,1.0,1.0932592,1.0932592,0.01,1.4766587,1.4766589,1.9743385,-1.2060714,1
0,93.999725,251.00029,1.4442215,1.1963818,1.1963818,0.01,1.3490055,1.349006,2.4752028,-1.5902979,1
0,93.99984,82.99991,1.1530533,1.1777589,1.1777589,0.01,1.50967,1.5096701,2.5784407,-1.3264663,1
0,93.999886,235.99992,1.0,1.0286181,1.0286181,0.01,1.3581765,1.3581765,2.57193,-1.2200668,1
